Name,Workstream,What it is,Action URL,Action URL Live,Cost,Self-service level,How to submit,Effort/time,Audience / reach,Geography,Best for,Cadence fit,Notes / gotchas,Source URL,Date verified
Hyperallergic,Media/PR Amplifier,"Online arts publication featuring news, reviews, and a monthly opportunities roundup for artists and creatives.",https://hyperallergic.com/advertise/,yes,confirm,Manual review/approval,,Low,1 million+ unique visitors per month (Hyperallergic),Global,open call | grant | press,recurring roundup,Does not offer a free self-service listing portal; opportunity features and classifieds are directed to the advertising department via a contact form or Nectar Ads. Editorial tips and announcements can be emailed to tips@hyperallergic.com.,"[Hyperallergic Advertise](https://hyperallergic.com/advertise/), [Hyperallergic Opportunities Roundup](https://hyperallergic.com/opportunities-in-june-2026/)",2026-06-12
New American Paintings,Media/PR Amplifier,"Juried showcase/periodical for emerging painters; potential PR/amplification partner, not a submission host.",https://newamericanpaintings.com/contact-us,yes,confirm,Email/pitch required,,Low,"Approx. 5,000+ artist reviews annually with a global subscriber base (from site content/context)",US national,"press, open call",one-off post,"New American Paintings is primarily a self-contained juried competition; however, they list a specific contact for advertising inquiries (Liz Morlock) on their Contact page, which is the standard route for an organization looking to reach their audience or propose a collaboration. Direct 'post a call' self-service for external organizations is not found.","[New American Paintings Contact Us](https://newamericanpaintings.com/contact-us), [New American Paintings About](https://newamericanpaintings.com/about)",2026-06-12
NYFA Classifieds / Opportunities,Open-Call Listing,High-reach NYFA opportunity board where organizations POST open calls; listings link out to your own submission URL.,https://www.nyfa.org/sign-up/,yes,$95 (2wk) / $175 (4wk) / $315 (8wk); nonprofit discount available,Account required,Sign up → create a paid classified listing ($95–$315 by duration; nonprofit discount on request) → enter call details + your external submission link.,Low,"11M+ annual page views, 716K+ arts candidates, and 42K+ newsletter subscribers (NYFA Create Listing)",US national,"open call, exhibition, grant, donor, press",one-off post,Verified org-perspective: posts link out to YOUR submission page — no lock-in. Small nonprofits (budget ≤ $600k) can request discounted pricing. Strong US/NY reach.,[NYFA Create a Listing](https://www.nyfa.org/create-listing/),2026-06-12
Americans for the Arts,Partner Org/Council,National job and internship board for the arts sector.,https://jobbank.artsusa.org/employer-offers,yes,"$265 (60-Day Basic Non-Member), $399 (60-Day Premium Non-Member), $25 (30-Day Internship)",Account required,Create an employer/org account on the ARTSU job bank → post your opportunity → link to your own submission page.,Medium,Arts professionals and organizations nationwide (estimate based on leading national arts advocacy role),US national,open call,one-off post,"Members get discounted rates ($155 Basic, $239 Premium). Requires account creation to post.","[Job Bank Pricing](https://jobbank.artsusa.org/employer-offers), [Americans for the Arts](https://www.americansforthearts.org/)",2026-06-12
Arts to Hearts Project,Media/PR Amplifier,A global media and publishing platform for women artists that curates and publishes open calls and opportunities. (Arts to Hearts Project),https://artstoheartsproject.com/contact/,yes,confirm (Arts to Hearts Project),Email/pitch required (Arts to Hearts Project),,Medium (Arts to Hearts Project),"160,000+ women creatives worldwide (from homepage) (Arts to Hearts Project)",Global (Arts to Hearts Project),"open call, exhibition, press (Arts to Hearts Project)",recurring roundup (Arts to Hearts Project),Submissions for curated roundups are selected from a 'pool of submissions' and editorial research; organizers should contact via the contact page for partnerships or proposals (Arts to Hearts Project).,https://artstoheartsproject.com/contact/ ([Arts to Hearts Project](https://artstoheartsproject.com/contact/)),2026-06-12
Booooooom Studio,Media/PR Amplifier,"The partnership and advertising arm of Booooooom, handling inquiries from cultural institutions and brands looking to reach a large creative audience through sponsored content, awards, and ads. (Booooooom Studio)",https://studio.booooooom.com/,yes,confirm,Email/pitch required,,Medium,"2M+ monthly visitors, global creative audience (Booooooom Studio)",Global (Booooooom Studio),"press, open call, exhibition",one-off post,Primary intake for institutions and brands; guaranteed placement or reach typically requires a paid partnership or advertising agreement. Individual artist submissions are handled via a separate member-only portal. (Booooooom Studio),https://studio.booooooom.com/,2026-06-12
Create! Magazine,Media/PR Amplifier,"Independent contemporary art magazine and platform that features artists, open calls, and interviews through print, digital, and social media. (Create! Magazine About)",https://www.createmagazine.co/contact,yes,confirm,Email/pitch required,,Medium,"200,000+ global readers and followers (Create! Magazine)",Global,open call | exhibition | press,one-off post,No automated portal for outside organizers to post calls; requires manual partnership inquiry or pitching via email to alicia@createmagazine.com or info@createmagazine.com. (Create! Magazine Contact),"https://www.createmagazine.co/contact, https://www.createmagazine.co/call-for-art",2026-06-12
e-flux,Media/PR Amplifier,A leading international publishing and distribution platform for contemporary art announcements and press releases.,https://www.e-flux.com/contact,yes,confirm,Email/pitch required,,Medium,"90,000+ art professionals globally (Nearby Café)",Global,"press, exhibition, open call, grant, education",one-off post,Rates are not publicly listed and require contacting the e-flux team for a quote; submissions are manually reviewed (e-flux About).,"https://www.e-flux.com/contact, https://www.e-flux.com/about",2026-06-12
eReleases CauseWire,Media/PR Amplifier,"A specialized press release distribution service for nonprofit organizations, providing access to the PR Newswire network and targeted journalist outreach at discounted rates.",https://www.ereleases.com/causewire/,yes,$399 base (Buzz Builder) with 30% first-timer discount; qualify for specific nonprofit rates via form (eReleases).,Account required / Manual review/approval,,Medium,"1.7 million+ journalists and influencers, plus national PR Newswire distribution reaching 100+ news sites (eReleases).",US national,press,one-off post,Nonprofits must fill out a qualification form to access discounted rates. Every release undergoes manual editorial review. Pricing is per-release with no membership fees (eReleases).,"[eReleases CauseWire](https://www.ereleases.com/causewire/), [eReleases Pricing](https://www.ereleases.com/pricing/)",2026-06-12
GoFundMe Pro (formerly Classy),Fundraising/Grants/Donor,"An enterprise fundraising platform for nonprofits that provides tools for donation forms, peer-to-peer campaigns, event registration, and auctions, leveraging the reach of the GoFundMe donor community.",https://pro.gofundme.com/c/demo/,yes,confirm,Manual review/approval,,Medium,~200 million donors (GoFundMe Pro),US national,donor,always-on,"Formerly Classy; now integrated with GoFundMe. Specifically serves US-based 501(c)(3) nonprofits. Pricing is custom and requires contacting their team for a demo and assisted onboarding. Nonprofits can also ""claim"" their existing GoFundMe page at gofundme.com/charity/claim/search.",https://pro.gofundme.com/c/demo/,2026-06-12
GrantStation,Fundraising/Grants/Donor,"An online grant research platform providing access to searchable databases of private, federal, and international grantmakers, along with strategy tools and educational resources (GrantStation).",https://grantstation.com/checkout/account/98454/6?product_id=2769952,yes,$199/yr or $299/2yrs,Account required,,Medium,"~20,000+ member organizations (est. based on YouTube), serving nonprofits in the US, Canada, and internationally.",Global,grant,always-on,Requires paid membership for full database access. Offers a free weekly newsletter (Insider). Discounts frequently available via TechSoup or seasonal promotions ($119-$150) (Grantsights).,"[GrantStation Membership Page](https://grantstation.com/product/grantstation-membership), [Registration/Checkout Page](https://grantstation.com/checkout/account/98454/6?product_id=2769952)",2026-06-12
LensCulture,Media/PR Amplifier,Global photography platform/magazine; promote your photo open call via their advertising/media options (not a submission host).,https://www.lensculture.com/advertising,yes,confirm (request media kit for pricing),Email/pitch required,,Medium,"3M+ monthly reach across platforms, 700,000+ email subscribers, 1.1M Instagram followers (LensCulture Advertising).",Global,"open call, exhibition, grant, press",one-off post,Promotional/PR channel for photo audiences. Request media kit for pricing. Not a submission platform — use for amplification only.,"[LensCulture Advertising](https://www.lensculture.com/advertising), [LensCulture Contact](https://www.lensculture.com/contact)",2026-06-12
Network for Good (Bonterra Nonprofit Hub),Fundraising/Grants/Donor,"A donor management and fundraising platform providing CRM tools, online donation pages, and grant-matching resources for nonprofits Bonterra, Network for Good",https://connect.bonterra.network/,yes,"Starts at ~$200/month (billed annually) + 3%-4.75% transaction fees Zeffy, Merchant Alternatives",Account required,,Medium,"Small-to-mid nonprofits; platform serves over 1,300+ organizations Zeffy",US national,"donor, grant",always-on,"Now part of Bonterra; core fundraising software requires a paid subscription and often a demo, though a free 'Nonprofit Hub' profile is available for basic donor data and grant matching Bonterra, Zeffy",https://connect.bonterra.network/,2026-06-12
Pinterest Ads,Paid-Ads Channel,"Visual advertising platform for promoting pins to reach targeted audiences for brand awareness, traffic, and conversions.",https://ads.pinterest.com/,yes,"$0.00–$0.10 per click, $0.00–$2.00 per conversion, or $0.00–$1.50 per 1,000 impressions. (WebFX, 2026)",Account required,,Medium,"631 million monthly active users globally, with approximately 106 million in the US and Canada as of Q1 2026. (Pinterest Q1 2026 Results)",Global,open call | exhibition | donor | press,always-on,"Requires a free Pinterest Business account. Nonprofits can select 'Institution/Nonprofit' during business profile setup. (Charity Digital, Pinterest Help Center)","https://ads.pinterest.com/, https://business.pinterest.com/, https://www.socialmediatoday.com/news/pinterest-posts-solid-growth-for-the-first-quarter-of-2026/819391/",2026-06-12
Res Artis,Partner Org/Council,A worldwide network of arts residencies that provides a platform for organizations to list residency programs and post unlimited open calls for artists.,https://resartis.org/join-res-artis-or-update-your-profile/,yes,membership €69 - €700/yr (tiered by organization budget) Res Artis Pricing,Manual review/approval,"Join/update your member profile, then submit your residency/open-call opportunity for manual review and listing.",Medium,"3,918,039 annual website visitors, 25,000+ newsletter subscribers, and 125,000+ Facebook followers (global artist community) Res Artis Advertising",Global,open call,always-on,Res Artis is a vetted network; organizations must submit a detailed application including budget files and images to be approved for membership and listing Res Artis Join Form,"[Res Artis Join Form](https://resartis.org/join-res-artis-or-update-your-profile/), [Res Artis Pricing](https://resartis.org/pricing/), [Res Artis Advertising](https://resartis.org/advertising/)",2026-06-12
This Is Colossal,Media/PR Amplifier,An international platform and digital magazine for contemporary art and visual expression (Colossal).,https://www.thisiscolossal.com/submissions/,yes,confirm,Email/pitch required,,Medium,"1M+ monthly visitors, 200k+ newsletter subscribers, 2.5M+ pageviews (Nectar Ads)",Global,"open call, grant, press, exhibition",recurring roundup,"Submissions for the monthly ""Colossal Opportunities"" roundup should be sent to [email protected]; general editorial tips go to [email protected] High volume means they cannot respond to all inquiries (Colossal Submissions).",https://www.thisiscolossal.com/submissions/,2026-06-12
Meta Ads Manager,Paid-Ads Channel,"A comprehensive tool for creating, managing, and tracking advertisements across Meta's platforms (Facebook, Instagram, Messenger).",https://adsmanager.facebook.com/adsmanager/manage/campaigns,yes,$0.20-$0.80 CPC / $2-$8 CPM for nonprofits (Vispaico),Account required,,High,"Over 3 billion monthly active users globally across Facebook, Instagram, Messenger, and WhatsApp (Meta). For nonprofits, typical CPC is $0.20-$0.80 and CPM is $2-$8 (Vispaico).",Global,"donor, grant, press, open call, exhibition",always-on,Requires a Facebook personal account and a Meta Business Suite account. High learning curve. Nonprofit subsidized rates may apply via specialized programs like Meta for Nonprofits (Benly).,"https://adsmanager.facebook.com/adsmanager/manage/campaigns, https://www.facebook.com/business/ads",2026-06-12
